984,458,487,NULL,07',18
985,458,479,484,16',18
986,458,484,488,43',18
987,458,106,112,86',4
988,458,112,105,87',4
989,458,484,478,48',18
990,181,271,NULL,18',10
991,181,272,264,72',10
992,181,264,271,09',10
993,181,271,269,07',10
994,181,274,271,61',10
996,362,115,112,52',4
997,113,222,205,25',8
998,113,239,242,64',9
1000,113,212,204,70',8
1001,113,246,238,55',9
1002,113,204,NULL,36',8
1003,39,480,NULL,67',18
1004,39,603,NULL,74',22
1005,39,471,NULL,48',18
1006,39,590,NULL,34',22
1007,45,614,NULL,59',4
1008,264,368,366,71',13
1009,264,350,355,24',13
1010,264,533,538,58',20
1011,287,142,NULL,79',5
1012,287,143,137,67',5
1014,234,339,342,40',12
1015,234,335,NULL,06',12
1016,234,328,342,78',12
1017,234,315,339,83',12
1018,451,78,80,65',3
1019,309,12,23,50',1
1021,275,390,NULL,15',14
1022,28,645,404,88',15
1023,28,423,432,46',16
1024,28,431,423,59',16
1026,28,432,NULL,38',16
1027,28,645,401,86',15
1028,28,430,NULL,31',16
1029,28,428,423,44',16
1030,269,167,152,02',6
1031,269,391,641,89',14
1032,269,391,390,09',14
1033,269,165,626,45',6
1034,269,390,383,26',14
1035,269,383,388,50',14
1036,21,514,501,16',19
1037,21,514,654,78',19
1038,338,525,533,73',20
1039,338,533,NULL,33',20
1040,338,603,582,22',22
1041,373,193,184,66',7
1042,373,195,NULL,18',7
1043,373,177,174,49',7
1044,119,60,47,29',2
1045,119,601,595,34',22
1046,119,62,59,77',2
1047,119,607,597,90',22
1048,119,60,46,05',2
1049,161,305,NULL,13',11
1050,161,285,305,80',11
1051,161,292,NULL,75',11
1052,161,295,305,37',11
1053,324,300,295,89',11
1054,324,295,297,19',11
1055,236,195,185,72',7
1056,236,456,NULL,27',17
1057,236,456,NULL,88',17
1058,236,465,447,46',17
1059,236,195,186,65',7
1060,236,456,NULL,51',17
1061,218,148,165,30',6
1062,211,71,80,27',3
1063,7,590,NULL,76',22
1064,7,246,NULL,14',9
1065,7,246,342,86',9
1066,364,274,275,90',10
1067,227,295,296,55',11
1068,227,295,304,20',11
1069,132,408,NULL,84',15
1070,55,391,NULL,76',14
1071,55,382,NULL,02',14
1072,55,641,380,89',14
1073,55,411,407,31',15
1074,59,295,301,49',11
1075,34,338,337,89',12
1076,209,266,271,85',10
1077,209,89,75,80',3
1078,209,266,262,77',10
1079,369,248,243,13',9
1082,186,509,506,14',19
1083,125,390,373,64',14
1084,125,463,NULL,77',17
1086,68,367,368,35',13
1087,68,369,368,83',13
1088,171,366,355,49',13
1089,171,361,NULL,56',13
1090,303,539,NULL,73',20
1091,303,530,528,23',20
1092,303,272,NULL,61',10
495,54,547,NULL,29',21
496,154,156,153,69',6
497,154,29,25,73',1
498,154,23,26,05',1
499,6,209,NULL,31',8
500,6,62,61,84',2
501,26,366,369,59',13
502,26,369,355,47',13
503,26,342,248,68',9
504,26,368,369,08',13
505,26,368,369,07',13
506,89,167,159,17',6
507,89,167,159,08',6
508,329,111,117,81',4
509,82,505,509,57',19
510,82,645,395,87',15
511,82,501,506,39',19
512,240,18,22,43',1
513,240,490,NULL,87',18
514,14,62,61,77',2
515,14,239,240,84',9
516,315,490,NULL,77',18
517,315,481,488,45',18
518,330,368,369,35',13
519,60,43,61,30',2
520,60,107,NULL,57',4
521,60,119,112,40',4
522,60,110,119,42',4
523,128,605,607,50',22
524,128,538,523,57',20
525,128,529,538,83',20
526,128,605,NULL,67',22
527,262,87,NULL,06',5
528,262,87,NULL,18',5
529,262,143,142,12',5
530,368,603,604,16',22
531,368,600,586,29',22
532,368,603,599,82',22
533,348,388,386,55',14
534,205,490,488,34',18
535,292,521,533,66',20
536,292,566,568,57',21
537,292,538,539,21',20
538,292,569,576,56',21
539,292,576,568,59',21
540,292,576,566,54',21
541,22,138,NULL,04',5
542,22,138,618,29',5
543,265,304,296,77',11
544,105,598,NULL,27',22
546,105,604,NULL,12',22
547,105,271,NULL,39',10
548,105,598,NULL,76',22
549,299,178,185,29',7
550,299,567,566,69',21
551,299,549,566,26',21
552,151,521,533,58',20
553,255,79,80,80',3
554,1,386,641,69',14
555,1,386,NULL,84',14
556,1,388,383,82',14
557,1,9,11,28',1
558,1,25,13,39',1
559,1,641,383,73',14
560,266,193,194,61',7
561,266,189,194,73',7
562,266,604,588,75',22
563,266,193,174,71',7
564,411,275,256,61',10
565,411,300,296,12',11
566,244,194,189,85',7
567,244,177,189,50',7
568,308,391,388,29',14
569,308,386,376,28',14
570,308,305,304,46',11
572,172,386,388,80',14
573,172,489,488,71',18
574,233,275,271,49',10
575,233,304,285,39',11
576,445,514,653,90',19
577,445,246,630,35',9
467,188,222,NULL,13',8
469,188,142,135,54',5
470,188,87,NULL,16',5
471,37,266,NULL,39',10
473,37,222,208,90',8
474,37,212,205,56',8
475,190,408,401,54',15
476,190,239,244,87',9
477,190,411,395,27',15
478,190,407,409,53',15
479,190,407,409,67',15
481,8,339,307,61',12
482,8,488,NULL,05',18
483,380,566,576,23',21
