coach_id,first_name,last_name,country,birth,status,last_epl_team_id,matches,wins,draws,losses
2726,Rafael,Benítez,Spain,16/04/1960,retired,7,359,173,86,100
2735,Stuart,Pearce,England,24/04/1962,retired,11,104,32,26,46
2782,Nigel,Worthington,Northern Ireland,04/11/1961,retired,14,38,7,12,19
2792,Alain,Perrin,France,07/10/1956,retired,37,20,4,6,10
2816,Martin,Jol,Netherlands,16/01/1956,retired,34,202,75,51,76
2987,Kevin,Ball,England,12/11/1964,retired,29,12,1,2,9
3021,Alan,Pardew,England,18/07/1961,retired,36,320,109,68,143
3090,Sammy,Lee,England,07/02/1959,retired,27,11,1,3,7
3122,Lawrie,Sanchez,Northern Ireland,22/10/1959,retired,34,22,3,8,11
3168,Gareth,Southgate,England,03/09/1970,retired,13,114,29,33,52
3177,Nigel,Pearson,England,21/08/1963,retired,33,60,18,14,29
3236,Neil,Warnock,England,01/12/1948,retired,46,112,27,23,62
3277,Aidy,Boothroyd,England,08/02/1971,retired,33,38,5,13,20
3339,Alex,McLeish,Scotland,21/01/1959,retired,2,138,33,52,53
3369,Avraham,Grant,Israel,06/05/1955,retired,25,94,34,26,34
3443,Sven-Göran,Eriksson,Sweden,05/02/1948,retired,11,38,15,10,13
3503,Roy,Keane,Ireland,10/08/1971,retired,29,53,15,9,29
3516,Juande,Ramos,Spain,25/09/1954,retired,21,35,10,11,14
3598,Guus,Hiddink,Netherlands,08/11/1946,retired,4,34,18,12,4
3640,Phil,Brown,England,30/05/1959,retired,41,67,13,20,34
3671,Mike,Phelan,England,24/09/1962,retired,41,20,3,4,13
3693,Alan,Shearer,England,13/08/1970,retired,23,8,1,2,5
3700,Paul,Hart,England,04/05/1953,retired,37,27,6,6,15
3709,Tony,Pulis,Wales,16/01/1958,retired,42,322,98,93,131
3717,Ricky,Sbragia,Scotland,26/05/1956,retired,29,23,5,6,12
3758,Tony,Mowbray,England,22/11/1963,retired,36,38,8,8,22
3773,Gianfranco,Zola,Italy,05/07/1966,retired,25,72,20,20,32
3832,Owen,Coyle,Ireland,14/07/1966,retired,27,116,33,24,59
3856,Brian,Laws,England,14/10/1961,retired,43,18,3,1,14
3864,Carlo,Ancelotti,Italy,10/06/1959,retired,7,134,73,27,34
3916,Roberto,Mancini,Italy,27/11/1964,retired,11,133,82,27,24
3986,Roberto,Martínez,Spain,13/07/1973,retired,7,265,81,77,107
4060,Steve,Kean,Scotland,30/09/1967,retired,3,59,13,14,32
4091,Ian,Holloway,England,12/03/1963,retired,6,46,11,9,26
4178,John,Carver,England,16/01/1965,retired,23,20,4,4,12
4217,Kevin,Keen,England,25/02/1967,retired,25,2,0,0,2
4292,Roberto,Di Matteo,Italy,29/05/1970,retired,4,48,19,11,18
4368,Paul,Lambert,Scotland,07/08/1969,retired,42,154,39,44,71
4425,Brendan,Rodgers,Northern Ireland,26/01/1973,retired,26,312,139,71,102
4457,Terry,Connor,England,09/11/1962,retired,38,13,0,4,9
4564,Chris,Hughton,Ireland,11/12/1958,retired,131,167,41,48,78
4599,Nigel,Adkins,England,11/03/1965,retired,40,30,6,9,15
4632,Mauricio,Pochettino,Argentina,02/03/1972,active,4,275,139,65,71
4649,Paolo,Di Canio,Italy,09/07/1968,retired,29,12,2,3,7
4662,Michael,Laudrup,Denmark,15/06/1964,retired,45,62,17,19,26
4670,André,Villas-Boas,Portugal,17/10/1977,retired,4,81,42,19,20
4677,Steve,Clarke,Scotland,29/08/1963,retired,36,55,17,13,25
4745,Malky,Mackay,Scotland,19/02/1972,retired,46,18,4,5,9
4775,Keith,Millen,England,26/09/1966,retired,6,8,1,3,4
4778,Graeme,Jones,England,13/03/1970,retired,23,4,0,3,1
4795,Steve,Agnew,England,09/11/1965,retired,13,11,1,3,7
4808,Manuel,Pellegrini,Chile,16/09/1953,retired,25,171,90,32,49
4824,Mark,Bowen,Wales,07/12/1963,retired,17,1,0,0,1
4833,Gustavo,Poyet,Uruguay,15/11/1967,retired,29,60,14,21,25
5119,Jürgen,Klopp,Germany,16/06/1967,active,10,315,197,74,44
5182,Steve,Holland,England,30/04/1970,retired,4,1,0,0,1
5285,Pep,Guardiola,Spain,18/01/1971,active,11,284,208,38,38
5556,Antonio,Conte,Italy,31/07/1969,retired,21,132,83,19,30
5563,Ryan,Giggs,Wales,29/11/1973,retired,12,4,2,1,1
6220,Dick,Advocaat,Netherlands,27/09/1947,retired,29,17,3,6,8
6506,Marco Alexandre,Saraiva da Silva,Portugal,12/07/1977,active,34,152,53,29,70
6908,Rémi,Garde,France,03/04/1966,retired,2,20,2,6,12
7247,Unai,Emery,Spain,03/11/1971,active,2,95,52,20,23
7484,Garry,Monk,England,06/03/1979,retired,45,67,24,16,27
7493,Tim,Sherwood,England,06/02/1969,retired,2,45,19,5,21
8060,Eddie,Howe,England,29/11/1977,active,23,274,97,64,113
8250,Sean,Dyche,England,28/06/1971,active,7,295,85,76,134
8319,Ole Gunnar,Solskjær,Norway,26/02/1973,retired,12,127,59,32,36
8496,Steve,Davis,England,30/10/1968,retired,38,7,1,1,5
8713,Felix,Magath,Germany,26/07/1953,retired,34,12,3,3,6
8957,Brian,McDermott,England,08/04/1961,retired,40,29,5,8,16
9139,Aitor,Karanka,Spain,18/09/1973,retired,13,27,4,10,13
9248,Chris,Wilder,England,23/09/1967,active,18,71,19,15,37
9250,Neil,Adams,England,23/11/1965,retired,14,5,0,1,4
9648,Michael,Jackson,England,04/12/1973,retired,43,8,3,2,3
9814,Alan,Curtis,Wales,16/04/1954,retired,45,10,3,2,5
9928,Dean,Smith,England,19/03/1971,retired,26,122,34,25,64
9981,Pepe,Mel,Spain,28/02/1963,retired,36,17,3,6,8
10381,Billy,Davies,Scotland,31/05/1964,retired,28,14,1,3,10
10434,Kevin,MacDonald,Scotland,22/11/1960,retired,2,10,3,2,5
10463,Craig,Shakespeare,England,26/10/1963,retired,26,21,8,5,8
10478,Louis,van Gaal,Netherlands,08/08/1951,retired,12,76,39,19,18
10496,Kevin,Bond,England,22/06/1957,retired,17,2,1,0,1
10497,Chris,Ramsey,England,28/04/1962,retired,17,13,2,2,9
10505,Ronald,Koeman,Netherlands,21/03/1963,retired,7,123,55,27,41
10834,Alex,Neil,Scotland,09/06/1981,retired,14,38,9,7,22
10854,Michael,Appleton,England,04/12/1975,retired,26,2,1,1,0
10958,Slavisa,Jokanovic,Serbia,16/08/1968,retired,34,12,1,2,9
11183,Julen,Lopetegui,Spain,28/08/1966,retired,38,23,9,4,10
11197,Attilio,Lombardo,Italy,06/01/1966,retired,6,7,2,0,5
12115,Slaven,Bilic,Croatia,11/09/1968,retired,36,100,31,30,39
13133,Eric,Black,Scotland,01/10/1963,retired,2,9,0,1,8
13147,Paul,Heckingbottom,England,17/07/1977,retired,18,24,4,2,18
13392,David,Unsworth,England,16/10/1973,retired,7,6,3,1,2
13476,David,Wagner,United States,19/10/1971,retired,159,60,11,15,34
13516,Nathan,Jones,Wales,28/05/1973,retired,20,8,1,0,7
13711,Carlos,Carvalhal,Portugal,04/12/1965,retired,45,18,5,5,8
13800,Francesco,Guidolin,Italy,03/10/1955,retired,45,23,8,5,10
13827,Enrique,Sánchez Flores,Spain,05/02/1965,retired,33,48,13,13,22
14689,Steve,Wigley,England,15/10/1961,retired,27,16,1,8,7
15566,Thomas,Tuchel,Germany,29/08/1973,retired,4,63,35,17,11
15999,Maurizio,Sarri,Italy,10/01/1959,retired,4,38,21,9,8
17688,Ian,Porterfield,England,11/02/1946,retired,4,29,9,10,10
17689,David,Webb,England,09/04/1946,retired,4,13,5,4,4
17690,Jimmy,Gabriel,England,16/10/1940,retired,7,7,0,1,6
17691,Tony,Book,England,04/09/1934,retired,11,1,0,1,0
17692,Jim,Barron,England,19/10/1943,retired,2,1,1,0,0
17693,Paul,Goddard,England,12/10/1959,retired,8,2,0,2,0
17695,Steve,Perryman,England,21/12/1951,retired,21,1,0,0,1
17696,Roy,McFarland,England,05/04/1948,retired,27,22,2,4,16
17697,Terry,McDermott,England,08/12/1951,retired,23,1,0,1,0
17699,Chris,Hutchings,England,05/07/1957,retired,39,24,3,6,15
17700,Stuart,McCall,Scotland,10/06/1964,retired,32,2,0,0,2
17702,Billy,McEwan,Scotland,20/06/1951,retired,28,1,0,0,1
17704,Velimir,Zajec,Croatia,12/02/1956,retired,37,18,4,4,10
17705,Jacques,Santini,France,25/04/1952,retired,21,11,3,4,4
17706,Frank,Burrows,Scotland,30/01/1944,retired,36,2,0,1,1
17707,Joe,Jordan,Scotland,15/12/1951,retired,37,3,0,1,2
17708,Les,Reed,England,12/12/1952,retired,31,7,1,1,5
17709,Archie,Knox,Scotland,01/05/1947,retired,27,1,0,0,1
17711,Clive,Allen,England,20/05/1961,retired,21,1,0,0,1
17713,Frank,Barlow,England,15/10/1946,retired,39,2,0,0,2
17714,Paul,Ince,England,21/10/1967,retired,3,17,3,4,10
17715,Felipe,Scolari,Brazil,09/11/1948,retired,4,25,14,7,4
17716,Tony,Adams,England,10/10/1966,retired,37,15,2,4,9
17718,Eamonn,Dolan,Ireland,20/09/1967,retired,40,1,0,0,1
17764,Rene,Meulensteen,Netherlands,25/03/1964,retired,34,13,3,1,9
17786,Alan,Irvine,Scotland,12/07/1958,retired,36,20,5,5,10
17787,Rob,Kelly,England,21/12/1964,retired,36,1,0,1,0
17823,Walter,Mazzarri,Italy,01/10/1961,retired,33,38,11,7,20
17832,Eddie,Newton,England,13/12/1971,retired,4,1,1,0,0
17838,Paul,Clement,England,08/01/1972,retired,45,37,12,5,20
17863,Nuno Herlander,Simões Espírito Santo,Portugal,25/01/1974,active,15,126,49,32,45
17866,Patrick,Vieira,France,23/06/1976,retired,6,65,17,24,24
19542,Mike,Stowell,England,19/04/1965,retired,26,1,1,0,0
19602,Claude,Puel,France,02/09/1961,retired,26,94,31,23,40
20913,Bob,Bradley,United States,03/03/1958,retired,45,11,2,2,7
21131,Rob,Edwards,Wales,25/12/1982,active,163,18,4,3,11
22023,Daniel,Farke,Germany,30/10/1976,retired,14,49,6,8,35
22544,Mauricio,Pellegrino,Argentina,05/10/1971,retired,20,30,5,13,12
23444,Jan,Siewert,Germany,23/08/1982,retired,159,15,1,2,12
23601,Ralph,Hasenhüttl,Austria,09/08/1967,retired,20,151,47,36,68
24234,Steven,Gerrard,England,30/05/1980,retired,2,38,12,8,18
25095,Graham,Potter,England,20/05/1975,retired,4,142,41,51,50
25535,Scott,Parker,England,13/10/1980,retired,127,52,9,13,30
32303,Leon,Britton,England,16/09/1982,retired,45,2,0,1,1
32921,Eddie,Niedzwiecki,Wales,03/05/1959,retired,42,1,0,0,1
33006,Javier,Gracia,Spain,01/05/1970,retired,9,67,21,14,32
33247,Erik,ten Hag,Netherlands,02/02/1970,active,12,57,33,7,17
37903,Marcelo,Bielsa,Argentina,21/07/1955,retired,9,64,23,13,28
42440,Ange,Postecoglou,Australia,27/08/1965,active,21,18,11,3,4
42904,Jesse,Marsch,United States,08/11/1973,retired,9,32,8,9,15
44742,Thomas,Frank,Denmark,09/10/1973,active,130,94,33,25,36
48399,Ralf,Rangnick,Germany,29/06/1958,retired,12,24,10,7,7
49138,Darren,Moore,Jamaica,22/04/1974,retired,36,6,3,2,1
49883,Frank,Lampard,England,20/06/1978,retired,4,104,38,21,45
51970,Andoni,Iraola,Spain,22/06/1982,active,127,18,7,4,7
53012,Fredrik,Ljungberg,Sweden,16/04/1977,retired,1,5,1,2,2
53055,Mikel,Arteta,Spain,26/03/1982,active,1,152,87,26,39
54046,Kelvin,Davis,England,29/09/1976,retired,20,1,0,0,1
55720,Bruno,Lage,Portugal,12/05/1976,retired,38,46,16,9,21
55984,Mark,Hudson,England,30/03/1982,retired,159,1,0,0,1
65984,Steve,Cooper,Wales,10/12/1979,retired,15,55,12,16,27
70166,Hayden,Mullins,England,27/03/1979,retired,33,4,0,1,3
70215,Duncan,Ferguson,Scotland,27/12/1971,retired,7,4,1,2,1
88781,Cristian,Stellini,Italy,27/04/1974,retired,21,7,3,1,3
107836,Patrick,McCarthy,Ireland,31/05/1983,retired,6,2,0,0,2
110293,Vincent,Kompany,Belgium,10/04/1986,active,43,19,3,2,14
111976,Xisco,Muñoz,Spain,05/09/1980,retired,33,7,2,1,4
114436,Ryan,Mason,England,13/06/1991,retired,21,12,6,1,5
118012,Roberto,De Zerbi,Italy,06/06/1979,active,131,50,21,13,16
120669,Michael,Carrick,England,28/07/1981,retired,12,2,1,1,0
127608,Michael,Skubala,England,31/10/1982,retired,9,3,0,1,2
128847,Gary,O'Neil,England,18/05/1983,active,38,53,17,10,26
130410,Aaron,Danks,England,15/07/1985,retired,2,2,1,0,1
131382,Rubén,Sellés,Spain,15/06/1983,retired,20,16,2,4,10
135631,Bruno,Saltor,Spain,01/10/1980,retired,4,1,0,1,0
135670,Adam,Sadler,England,09/01/1980,retired,26,2,0,0,2
